ticker,sector,high1_date,high1,high2_date,high2,rsi1,rsi2,entry_date,entry_close,exit_date,exit_close,stock_60d_return,spy_entry_close,spy_exit_date,spy_exit_close,spy_60d_return,pair_pnl
DE,Industrials,2007-12-06,90.95,2008-01-14,94.77,72.18898098964851,61.70895038203715,2008-01-22,83.15,2008-04-17,89.55,0.07696933253156923,130.72,2008-04-17,137.05,0.04842411260709922,-0.02854521992447001
STT,Financial Services,2007-10-30,80.01,2008-01-14,85.4,70.16683187114148,59.78941175025927,2008-01-22,74.89,2008-04-17,70.32,-0.06102283348911752,130.72,2008-04-17,137.05,0.04842411260709922,0.10944694609621675
HRL,Consumer Defensive,2007-10-23,9.38,2008-01-14,10.18,59.05542585395001,47.393706586061874,2008-01-22,9.65,2008-04-17,9.85,0.02072538860103612,130.72,2008-04-17,137.05,0.04842411260709922,0.027698724006063102
BG,Consumer Defensive,2007-10-25,122.0,2008-01-15,135.0,73.05181733028698,57.75576398793204,2008-01-23,105.29,2008-04-18,117.14,0.11254630069332316,133.86,2008-04-18,138.48,0.03451367099955149,-0.07803262969377167
CNC,Healthcare,2007-10-23,6.4025,2008-01-16,6.9875,81.43274178904366,59.97253451061346,2008-01-24,6.32,2008-04-21,3.4875,-0.44818037974683544,134.99,2008-04-21,138.55,0.02637232387584265,0.4745527036226781
WAT,Healthcare,2007-11-01,77.27,2008-01-16,81.72,70.41717149127736,45.834768597235154,2008-01-24,56.04,2008-04-21,54.55,-0.02658815132048542,134.99,2008-04-21,138.55,0.02637232387584265,0.05296047519632807
MOH,Healthcare,2007-11-12,27.4,2008-01-22,29.96,65.53831912271102,39.54707325638023,2008-01-29,22.4667,2008-04-24,15.3467,-0.31691347638950085,135.91,2008-04-24,138.32,0.017732322860716687,0.33464579925021753
INCY,Healthcare,2007-12-17,10.93,2008-01-31,12.68,69.58660750400746,61.90395787300232,2008-02-07,11.88,2008-05-05,11.09,-0.06649831649831661,133.93,2008-05-05,140.83,0.05151945045919515,0.11801776695751176
ADM,Consumer Defensive,2007-11-14,38.54,2008-02-04,46.0,64.54808345041255,55.79593788064777,2008-02-11,42.95,2008-05-07,43.73,0.018160651920837934,133.75,2008-05-07,139.52,0.043140186915887835,0.0249795349950499
MA,Financial Services,2007-11-06,20.3,2008-02-04,22.23,78.56419187282236,66.04264774691916,2008-02-11,20.61,2008-05-07,29.1,0.4119359534206697,133.75,2008-05-07,139.52,0.043140186915887835,-0.36879576650478185
INCY,Healthcare,2007-12-17,10.93,2008-02-14,12.83,69.58660750400746,62.02238566518823,2008-02-22,9.91,2008-05-19,10.27,0.03632694248234092,135.62,2008-05-19,143.05,0.05478542987759916,0.01845848739525824
MOS,Basic Materials,2008-01-14,110.2,2008-02-26,119.78,74.84061627636899,67.77456649136937,2008-03-04,108.92,2008-05-29,121.79,0.11816011751744404,132.99,2008-05-29,140.0,0.05271073013008487,-0.06544938738735917
CTRA,Energy,2008-02-26,13.04,2008-03-14,13.97,78.45384026467956,68.36498656421423,2008-03-24,11.85,2008-06-17,17.78,0.5004219409282702,134.72,2008-06-17,135.57,0.006309382422802878,-0.4941125585054673
JBHT,Industrials,2008-01-31,31.86,2008-03-24,33.8,71.77751854125277,63.111476167577656,2008-03-31,31.43,2008-06-24,33.32,0.060133630289532336,131.97,2008-06-24,131.19,-0.005910434189588587,-0.06604406447912092
TKO,Communication Services,2008-02-26,18.09,2008-03-25,19.48,71.96857387042222,62.59114339723677,2008-04-01,18.74,2008-06-25,15.47,-0.17449306296691558,136.61,2008-06-25,131.81,-0.03513652002049639,0.1393565429464192
ODFL,Industrials,2008-02-14,4.76,2008-03-25,4.98,68.05977762499434,62.80740566876882,2008-04-01,4.97,2008-06-25,4.46,-0.10261569416498995,136.61,2008-06-25,131.81,-0.03513652002049639,0.06747917414449356
JBHT,Industrials,2008-01-31,31.86,2008-04-01,33.3,71.77751854125277,63.064823481214695,2008-04-08,31.77,2008-07-02,31.78,0.0003147623544224043,136.82,2008-07-02,126.18,-0.07776640841982152,-0.07808117077424392
TJX,Consumer Cyclical,2008-02-26,8.35,2008-04-02,8.71,66.25437191319978,60.84352051887778,2008-04-09,8.02,2008-07-03,7.81,-0.026184538653366562,135.83,2008-07-03,126.31,-0.07008760951188997,-0.04390307085852341
TKO,Communication Services,2008-02-26,18.09,2008-04-09,19.86,71.96857387042222,60.53584259353555,2008-04-16,19.0,2008-07-11,14.87,-0.21736842105263166,136.85,2008-07-11,123.84,-0.09506759225429295,0.1223008287983387
MA,Financial Services,2008-02-04,22.23,2008-04-09,23.62,66.04264774691916,60.62871010066891,2008-04-16,23.05,2008-07-11,25.74,0.11670281995661602,136.85,2008-07-11,123.84,-0.09506759225429295,-0.21177041221090898
CTRA,Energy,2008-02-26,13.04,2008-04-17,15.62,78.45384026467956,70.24276945042146,2008-04-24,14.06,2008-07-21,13.51,-0.03911806543385499,138.32,2008-07-21,126.05,-0.08870734528629265,-0.04958927985243766
GILD,Healthcare,2008-03-05,24.96,2008-04-21,26.42,65.16316041220661,57.451500954003876,2008-04-28,26.27,2008-07-23,26.35,0.0030452988199467512,139.63,2008-07-23,128.17,-0.08207405285397129,-0.08511935167391804
EOG,Energy,2008-02-28,64.95,2008-04-22,70.25,79.1998395471897,69.95477195241337,2008-04-29,64.18,2008-07-24,50.59,-0.21174820816453732,139.08,2008-07-24,125.51,-0.09756974403221175,0.11417846413232557
STLD,Basic Materials,2008-03-18,35.28,2008-04-22,39.25,68.56308307629602,58.48625685342455,2008-04-29,34.6,2008-07-24,29.32,-0.1526011560693642,139.08,2008-07-24,125.51,-0.09756974403221175,0.05503141203715245
NSC,Industrials,2008-02-01,56.45,2008-04-22,61.89,72.05340677554022,66.94757172342395,2008-04-29,59.99,2008-07-24,69.94,0.16586097682947143,139.08,2008-07-24,125.51,-0.09756974403221175,-0.2634307208616832
FMC,Basic Materials,2008-02-26,25.94,2008-04-24,27.95,73.21034820124845,64.23182821548738,2008-05-01,26.8,2008-07-28,28.47,0.0623134328358208,141.12,2008-07-28,123.64,-0.12386621315192747,-0.18617964598774828
OXY,Energy,2008-02-28,77.13,2008-04-28,83.95,69.57363532639333,63.983034789462124,2008-05-05,82.34,2008-07-30,77.4,-0.05999514209375756,140.83,2008-07-30,128.53,-0.08733934530994825,-0.027344203216190688
FSLR,Energy,2008-04-07,291.49,2008-04-30,307.8,71.74497295134859,65.0693804703192,2008-05-07,276.85,2008-08-01,280.74,0.014050930106555892,139.52,2008-08-01,126.16,-0.09575688073394506,-0.10980781084050095
VTR,Real Estate,2008-03-24,42.12,2008-05-02,44.13,68.57108939999748,55.26194571938919,2008-05-09,40.92,2008-08-05,40.71,-0.00513196480938416,138.9,2008-08-05,128.36,-0.07588192944564431,-0.07074996463626015
